comment,is_negative
"Let's see and what toxic materials are needed to build these batteries, they dont talk about the massive pit mines used to get the raw materials for them. What are you going to do with all those batteries when they go bad in 20 years? Whats going to burn to melt the steel to forge the frames of these cars? The list goes on amd on.",1
When he spoke about the need for transition between gas to electric cars he looked deeply saddened. He truly is doing this out of passion and almost a fear.,0
great video but sort of scary as well,1
Hahaha thanks Joe. I felt his torture 😭😂😭😂😭😂. He definitely needs more sessions because he is going berserk these days.,0
Elon needs to make some cars with those panels on his cars that’s so cool.,0
Elon: I’m not gonna say the tunnels will work.                                                                              Also Elon: The tunnels will definitely work.,0
"2:06:00 best part      🤣🤣"" You need to kick down the door at Rolex & tell em you bitçhez are lazy """,0
This reminds me of  Turing Test.,0
Boring.com you sb .maybe u need tomcorrow,0
Whose whiskey is itttt?????,0
"In case you wonder ! Vit B17 found in Bitter almond tree treats any cancer typ in weeks  . ( it is been banned in US since 1993)  Canabis oil Treats cancer( Ingested)  (cold pressed) Banned . hydro_ quine  works .There are much more effective treatments( the cheaper the better ).  Urine therapy . ( urine is not a toxic or waste product )  I dare any  scientist that can prove me wrong .  Alzheimer ?  Not a problem .  Detoxification for 8 weeks +, Distiled water + warm &cold showers creates a respons at the lymphatic level which caries toxins out your brains .  ( Alzheimer =  toxins in the brains ) Simplicity is the key !    Forget everything you learned in school . Is rubbish !   Love humanity !",1
It took 1:21:43 for Elon to swear! This guy is so fascinating,0
Elon is sooo smart.  And down to earth.,0
37.28....this is where the whiskey really hit him !,0
"Can't believe Elon Musk saying that the whole universe will eventually dissipate, the theory he's talking about would probably happen in more than  twenty billion years from now and the theory also claims that the total dissipation of the universe will happen in many trillion years in the future, being so unimaginative about the future can be expected from an uneducated person but when Musk comes up with such limited imagination it makes me think that he's probably not as bright as I thought .",1
Does Elon musk have an accent or I'm I just tripping ?,0
"You can always see his brain deeply thinking about everything he ever says, most people dont or cant do this if anyone knows what I mean its sort of autstic type but not quite, hes able to socialize but the way he thinks about everything is different. Dude works 24/7, dont know how he can stand it.",0
Joe ways alone should build a giant building sized filter for carbon. They have those it's called trees,0
http://x.com,0
TOE AND ELON::::::::TWO SELL OUTS  SMOKING TO GET THEIR SELL OUT BRAINS TO FUNCTION,0
Hold the tobacco,0
1:58:34,0
Trump's people connected him with tweeting to control his future!,0
U no you high when u high zin berg high      haw he    he haw,0
"He takes his time NOT because he is thinking about his answer but because he is selecting and reading his answers...notice he will look to his bottom right, then direct eye contact to his bottom left, then he seems to be reading something in the bottom center and it must’ve not made sense to him notice how theres a long silence but no one has caught this 🤦🏻‍♂️ pls watch his other interviews aswell, i honestly believe that musk already has neuralink for quite sometime implanted and will one day make a reveal and announce that it works because ...he placed one inside his brain 20yrs ago.....HE IS READING GUYS !!!!!!! his answers are not answered right away because he has to read them first but they are calculated answers! WATCH!",0
17:51 dude reading a screen,0
Sooooooo is everyone just going to ignore the fact that Elon musk said “if you want a flying car just put wheels on a helicopter?” When helicopters already have wheels....,1
"Watching this podcast is like pulling teeth or taking a shit 🥵 why can’t he speak a normal sentence or make a normal conversation if he’s such a genius, and I’m talking about before he got stoned 🚬🤪 💨💨",1
Who would also love to see Elon and Alex Jones in the same episode?,0
"Wouldn't the Neurolink make it possible for people's biological self to get hacked, making them sick? And wouldn't people also have to give themselves entirely to a company or organization before receiving the Neurolink implant for ""security"" purposes?",1
Can a Tesla car recycle air? So we can start clearing the air we all breathe ?,0
"Cybertruck is waiting for a podcast, Joe it's time to bring Elon back",0
Who gifted the whisky? :D,0
IS HE NOT A FUCKING AI HIMSELF?! I’m so scared,1
"I got the chills At 11:58 when elon said ""not bad for a human""",0
37:28 Elon's sense of humour is strange for his level of intelligenceI fucking love it,0
"Can you imagine how much skid marks are in his tighty whities? Who do you think has worst skid marks, Elon or Rogan?",1
Joe can be so fucking dumb sometimes,1
Elon Musk is the only person that could Invent the 'Terminator' then lead the Resistance against it,0
No ethanol burns green,0
"‪Patreon.com/PUTHUMANITYFIRST ‬‪I’m a single father to my 2/yo sister and we need any help you can give. Cents make dollars. Please share or lkeif you can’t help, the more ppl get to the better. God bless 🧢🌺🖖 #Zoltan2020 #YangGang #AlohaGang @zoltan_istvan @AndrewYang @TulsiGabbard ‬",0
Carbon capacity of the atmoshere? Like when CO2 was 100times more a couple of million years ago and there still were mamals living just fine through warm periods and glaciations???,0
I am feeling very light and good and and having the sense of productivity after seeing this podcast especially last 30 minutes,0
Only time rogan wears collar shirt on podcast is here for elon musk. Elon shows up wearing a tshirt that says occupy. Lol,0
Watch the movie 'Lawnmower Man',0
Great to watch Elon open up about his struggles and bring to life the burdens of a restless imagination .,0
He is definitely a Nicola Tesla of our time and knows where we are going and is scared to reveal it all.,0
"Very  very basic AI recently was able to make thousands of lethal compounds just by switching a very simple part of the code meant to find potential lethal combinations and stop them. The data used is public. The program written to find it was basic. Many of them substantially more lethal than what we knew of before this ""test"". When he says its too late, he means it. If this is what we know of from headlines, its 10x to 100x worse behind closed doors.",1
Who rethought there entire life watching the last 30 minutes? 🙋🏾,0
"My man Joe really said, ""I hope Spiderman is out there doing his job in gotham"". Universes are nothing but another pack of lies in this man's mind!",0
We have a giant thermonuclear reactor in the sky... It's great it shows up every day very reliable... Unreal,0
lets just acknowledge Jamie put in description Elon is a business magnet,0
To linear thinking,0
He's like Tony Stark but not in a movie,0
so it’s bad to fly a rocket through the ozone but we need to change something because climate change,0
In 1960 the Tide laundry company had commercials every few weeks weeks w the New & Improved detergent. So much that the Rolling Stoned mentioned it in a song. The programming is that it's better to have a brand new Volkswagen then a used Rolls Royce.,0
Why are his eyes going back and forth,0
Didn't realise he was so young.,0
"Elon “it started out as a joke, but we decided to make it real” Musk",0
"Joe Rogan: ""I'm too stupid for this conversation"" LOL",0
"45:27 when Joe said ""This is real"" and Elon just said ""Feels very real"", scared the shit out of me. His look!",0
Why the F has Elons wiki page not been changed yet?,0
I swear this guy is nuts,1
as a natural empathic natural born witch i conquer this is all true.....,0
"Elon is very thorough, such a deep thinker on all aspects",0
18:25,0
